Page Name,Route,Category,Page Type,Core Purpose,Required Actions,Expected Button Behavior,Current Status,Priority,Notes
PO Create,/purchase-orders/create,Procurement,Create,Create new purchase order,Save | Cancel | Add Line Item | Copy from Template,Submit PO | Return | Add another item | Use template,Complete,P3,Standard create with line items
PO Edit,/purchase-orders/edit/:id,Procurement,Edit,Modify purchase order,Save Changes | Cancel | Delete | Add Line Item,Update PO | Return | Remove | Add item,Complete,P3,Standard edit
PO Show,/purchase-orders/show/:id,Procurement,Show,View PO details,Edit | Delete | Back | Approve | Reject | Print,Navigate to edit | Remove PO | Return | Approve PO | Reject PO | Generate PDF,Incomplete,P2,Missing approval buttons
PO Templates,/purchase-orders/templates,Procurement,Admin,Manage PO templates,Create Template | Edit | Delete | Use Template,Create new template | Modify existing | Remove | Apply to new PO,Complete,P3,Template management
PO Manage Contractors,/purchase-orders/manage-contractors,Procurement,Admin,Assign contractors to POs,Add Contractor | Remove | Save Changes | Cancel,Link contractor to PO | Unlink | Commit changes | Discard,Complete,P3,Contractor-PO linking
Timecards List,/timecards,Time Tracking,List,View all timecard submissions,Create Timecard | Edit | Delete | Filter | Search | Export | Bulk Approve,Navigate to create | Edit selected | Delete selected | Apply filters | Search | Download | Approve multiple,Complete,P3,Full functionality
Timecard Create,/timecards/create,Time Tracking,Create,Submit new timecard,Save | Cancel | Add Hours | Copy Previous,Submit timecard | Return | Add time entry | Clone last week,Complete,P3,Time entry form
Timecard Show,/timecards/show/:id,Time Tracking,Show,View timecard details,Edit | Delete | Back | Approve | Reject,Navigate to edit | Remove | Return | Approve hours | Reject hours,Complete,P3,Approval workflow
Pending Timecards,/timecards/pending,Time Tracking,Admin,Review timecards awaiting approval,Approve | Reject | Approve All | Reject All | Filter,Approve single | Reject single | Approve batch | Reject batch | Filter pending,Complete,P3,Approval queue
Bulk Approve Timecards,/timecards/bulk-approve,Time Tracking,Admin,Approve multiple timecards at once,Select All | Deselect All | Approve Selected | Cancel,Select all items | Clear selection | Process approval | Return,Complete,P3,Batch processing
Invoices List,/invoices,Billing,List,View all invoices,Create Invoice | Generate | Edit | Delete | Filter | Search | Export | Bulk Approve,Navigate to create | Auto-generate | Edit selected | Delete selected | Apply filters | Search | Download | Approve multiple,Complete,P3,Full invoice management
Invoice Create,/invoices/create,Billing,Create,Create new invoice manually,Save | Cancel | Add Line Item | Calculate Total,Submit invoice | Return | Add item | Auto-calculate,Complete,P3,Manual invoice creation
Invoice Edit,/invoices/edit/:id,Billing,Edit,Modify invoice details,Save Changes | Cancel | Delete | Recalculate,Update invoice | Return | Remove | Recalculate totals,Complete,P3,Edit with recalc
Invoice Show,/invoices/show/:id,Billing,Show,View invoice details,Edit | Delete | Back | Approve | Reject | Print | Send Email,Navigate to edit | Remove | Return | Approve | Reject | Generate PDF | Email to client,Incomplete,P2,Missing Send Email
Generate Invoice,/invoices/generate,Billing,Workflow,Auto-generate invoice from timecards,Select Contractor | Select Period | Preview | Generate | Cancel,Choose contractor | Pick date range | Show preview | Create invoice | Abort,Complete,P3,Auto-generation workflow
SOW List,/statement-of-works,Contracts,List,View all statements of work,Create SOW | Edit | Delete | Filter | Search | Export | Compliance Report,Navigate to create | Edit selected | Delete selected | Apply filters | Search | Download | View compliance,Complete,P3,Contract management
SOW Create,/statement-of-works/create,Contracts,Create,Create new statement of work,Save | Cancel | Add Scope Item | Upload Document,Submit SOW | Return | Add deliverable | Attach file,Complete,P3,SOW creation
SOW Edit,/statement-of-works/edit/:id,Contracts,Edit,Modify SOW details,Save Changes | Cancel | Delete | Add Scope Item,Update SOW | Return | Remove | Add deliverable,Complete,P3,SOW editing
SOW Show,/statement-of-works/show/:id,Contracts,Show,View SOW details,Edit | Delete | Back | Approve | Generate PO | Download,Navigate to edit | Remove | Return | Approve SOW | Create linked PO | Download PDF,Incomplete,P2,Missing Generate PO
SOW Compliance Report,/statement-of-works/compliance-report,Contracts,Report,View compliance across all SOWs,Filter by Status | Export | Refresh,Apply status filter | Download report | Reload data,Complete,P3,Compliance dashboard
Change Orders List,/change-orders,Contracts,List,View all change orders,Create Change Order | Edit | Delete | Filter | Search | Export,Navigate to create | Edit selected | Delete selected | Apply filters | Search | Download,Missing Create Button,P1,CRITICAL: Cannot create change orders
Change Order Create,/change-orders/create,Contracts,Create,Create new change order,Save | Cancel | Link to SOW,Submit change order | Return | Associate with SOW,Complete,P3,Change order creation
Change Order Show,/change-orders/show/:id,Contracts,Show,View change order details,Edit | Delete | Back | Approve | Reject,Navigate to edit | Remove | Return | Approve CO | Reject CO,Incomplete,P2,Missing approval workflow
Expenses List,/expenses,Finance,List,View all expense submissions,Create Expense | Edit | Delete | Filter | Search | Export | Bulk Approve,Navigate to create | Edit selected | Delete selected | Apply filters | Search | Download | Approve multiple,Complete,P3,Expense management
Expense Create,/expenses/create,Finance,Create,Submit new expense,Save | Cancel | Upload Receipt | Add Line Item,Submit expense | Return | Attach receipt | Add item,Complete,P3,Expense submission
Expense Show,/expenses/show/:id,Finance,Show,View expense details,Edit | Delete | Back | Approve | Reject | View Receipt,Navigate to edit | Remove | Return | Approve expense | Reject expense | Download receipt,Complete,P3,Expense review
Bulk Approve Expenses,/expenses/bulk-approve,Finance,Admin,Approve multiple expenses,Select All | Deselect All | Approve Selected | Reject Selected | Cancel,Select all | Clear selection | Approve batch | Reject batch | Return,Complete,P3,Batch expense approval
Expense Reports,/expenses/reports,Finance,Report,View expense analytics and reports,Filter by Date | Filter by Category | Export | Refresh,Apply date filter | Apply category filter | Download report | Reload data,Complete,P3,Expense reporting
Assets List,/assets,Asset Management,List,View all company assets,Create Asset | Scan | Edit | Delete | Filter | Search | Export | Transfer | Maintenance,Navigate to create | Scan barcode | Edit selected | Delete selected | Apply filters | Search | Download | Move asset | Schedule service,Complete,P3,Full asset tracking
Asset Create,/assets/create,Asset Management,Create,Add new asset to inventory,Save | Cancel | Generate Barcode | Upload Photo,Submit asset | Return | Create barcode | Attach image,Complete,P3,Asset creation
Asset Show,/assets/show/:id,Asset Management,Show,View asset details,Edit | Delete | Back | Transfer | Maintenance | Print Label,Navigate to edit | Remove | Return | Move to location | Schedule service | Print barcode,Complete,P3,Asset details
Asset Scan,/assets/scan,Asset Management,Workflow,Scan asset barcode for quick lookup,Scan | Manual Entry | View History,Use camera/scanner | Enter code manually | Show scan log,Complete,P3,Barcode scanning
Asset Kits,/assets/kits,Asset Management,Admin,Manage asset kits/bundles,Create Kit | Edit | Delete | Assign Kit,Create new kit | Modify kit | Remove kit | Link to user,Complete,P3,Kit management
Asset Transfer,/assets/transfer/:id,Asset Management,Workflow,Transfer asset to new location/owner,Transfer | Cancel | Add Note,Complete transfer | Abort | Add transfer note,Complete,P3,Asset transfer workflow
Asset Maintenance,/assets/maintenance,Asset Management,Admin,Schedule and track asset maintenance,Schedule Maintenance | Complete | Mark Overdue | Filter,Add service date | Mark as done | Flag late | Apply filters,Complete,P3,Maintenance tracking
AI Insights,/ai/insights,AI Intelligence,Dashboard,AI-powered contract analysis and alerts,Refresh Insights | View Details | Configure Alerts,Reload AI data | Navigate to detail | Adjust alert settings,Incomplete,P2,Missing configuration options
Chatbots,/ai/chatbots,AI Intelligence,Admin,Manage AI chatbot instances,Create Chatbot | Edit | Delete | Test | Deploy,Create new bot | Modify bot | Remove bot | Test conversation | Activate bot,Complete,P3,Chatbot management
Chatbots Display,/ai/chatbots-display,AI Intelligence,Display,View active chatbots for user interaction,Start Chat | Minimize | Close,Launch conversation | Collapse window | End session,Complete,P3,User-facing chatbot UI
Admin Hub,/admin,Administration,Hub,Central admin navigation,Navigate to Sections | Quick Actions,Jump to admin areas | Execute admin tasks,Complete,P3,Admin landing
Admin Dashboard,/admin/dashboard,Administration,Dashboard,System health and admin metrics,Refresh | View Logs | Manage Settings,Reload metrics | Show system logs | Configure system,Complete,P3,Admin overview
Logic Studio,/admin/logic-studio,Administration,Documentation,View all formulas workflows and business logic,View Formulas | View Relationships | View Workflows | Configure,Show calculation docs | Show entity diagrams | Show process flows | Adjust settings,Complete,P3,NEW: Formula documentation
User Management,/admin/users,Administration,List,Manage system users and permissions,Create User | Edit | Delete | Filter | Search | Export | Assign Roles,Navigate to create | Edit selected | Delete selected | Apply filters | Search | Download | Change permissions,Missing Create Button,P0,CRITICAL: Cannot add users - blocking issue
Audit Logs,/admin/audit-logs,Administration,List,View system audit trail,Filter by Date | Filter by User | Filter by Action | Export | Refresh,Apply date filter | Apply user filter | Apply action filter | Download logs | Reload,Complete,P3,Audit logging
System Exceptions,/admin/exceptions,Administration,List,View system errors and exceptions,Filter by Severity | Filter by Date | Resolve | Export | Refresh,Apply severity filter | Apply date filter | Mark as resolved | Download | Reload,Complete,P3,Error tracking
Data Quality Dashboard,/admin/data-quality,Administration,Dashboard,Monitor data quality metrics,Refresh | View Issues | Run Validation | Export,Reload metrics | Show data issues | Execute validation | Download report,Complete,P3,Data quality monitoring
Chatbots Customize,/admin/chatbots-customize,Administration,Admin,Customize chatbot behavior and responses,Save Changes | Cancel | Test Bot | Add Response | Delete Response,Update configuration | Discard changes | Preview bot | Add new response | Remove response,Complete,P3,Chatbot configuration
Voice Panel,/admin/voice-panel,Administration,Admin,Configure voice command system,Enable Voice | Disable Voice | Test Commands | Add Command | Save,Activate voice | Deactivate voice | Test recognition | Add new command | Commit changes,Complete,P3,Voice control admin
XLSX Import,/admin/xlsx-import,Administration,Workflow,Bulk import data from Excel files,Upload File | Download Template | Preview | Import | Cancel,Select Excel file | Get template | Show preview | Process import | Abort,Complete,P3,Bulk data import
Approvals Requests,/approvals/requests,Approvals,List,View pending approval requests,Approve | Reject | Approve All | Reject All | Filter | Delegate,Approve single | Reject single | Approve batch | Reject batch | Apply filters | Reassign to user,Complete,P3,Approval queue
Approval Rules,/approvals/rules,Approvals,Admin,Configure approval rules and workflows,Create Rule | Edit | Delete | Test Rule | Enable | Disable,Add new rule | Modify rule | Remove rule | Validate rule | Activate | Deactivate,Complete,P3,Workflow rules
Approval Configuration,/approvals/configure,Approvals,Admin,Configure approval system settings,Save Changes | Cancel | Add Approver | Remove Approver | Set Thresholds,Update config | Discard | Add approver | Remove approver | Define limits,Complete,P3,Approval settings
Email Logs,/approvals/email-logs,Approvals,List,View approval notification emails sent,Filter by Date | Filter by Recipient | Resend | Export | Refresh,Apply date filter | Apply recipient filter | Send again | Download logs | Reload,Complete,P3,Email tracking
Contractor Portal Dashboard,/contractor-portal,Contractor Portal,Dashboard,Contractor self-service dashboard,View Profile | Submit Timecard | View Invoices | Upload Document,Navigate to profile | Create timecard | Show invoices | Upload file,Complete,P3,Contractor landing
Contractor Profile,/contractor-portal/profile,Contractor Portal,Profile,View and edit contractor profile,Edit Profile | Change Password | Upload Photo | Save Changes | Cancel,Modify profile | Update password | Upload avatar | Commit changes | Discard,Complete,P3,Profile management
Contractor Timecards,/contractor-portal/timecards,Contractor Portal,List,Contractor view of their timecards,Create Timecard | Edit | Delete | Filter | View Status,Submit new timecard | Modify existing | Remove | Apply filters | Check approval status,Complete,P3,Timecard self-service
Contractor Timecard Create,/contractor-portal/timecards/create,Contractor Portal,Create,Contractor submit new timecard,Save | Cancel | Add Hours | Copy Previous,Submit timecard | Abort | Add time entry | Clone last week,Complete,P3,Time submission
Contractor Invoices,/contractor-portal/invoices,Contractor Portal,List,Contractor view of their invoices,Filter | Search | Download | View Payment Status,Apply filters | Search invoices | Download PDF | Check payment status,Complete,P3,Invoice visibility
Contractor Expenses,/contractor-portal/expenses,Contractor Portal,List,Contractor expense submissions,Create Expense | Edit | Delete | Filter | View Status,Submit expense | Modify | Remove | Apply filters | Check approval,Complete,P3,Expense self-service
Contractor Expense Create,/contractor-portal/expenses/create,Contractor Portal,Create,Contractor submit expense,Save | Cancel | Upload Receipt | Add Line Item,Submit expense | Abort | Attach receipt | Add item,Complete,P3,Expense submission
Contractor Documents,/contractor-portal/documents,Contractor Portal,List,Contractor document management,Upload Document | Delete | Download | Filter,Upload file | Remove file | Download file | Apply filters,Complete,P3,Document repository
Upload Contractor Document,/contractor-portal/documents/upload,Contractor Portal,Upload,Contractor upload document,Upload | Cancel | Select Type,Submit file | Abort | Choose document type,Complete,P3,Document upload
Contractor Messages,/contractor-portal/messages,Contractor Portal,Messaging,Contractor communication with admin,Send Message | Reply | Delete | Mark Read | Filter,Compose new | Respond | Remove | Mark as read | Apply filters,Complete,P3,Messaging system
Analytics Hub,/analytics-hub,Hubs,Dashboard,Comprehensive analytics and BI dashboard,Filter by Date | Export | Refresh | Customize Dashboard,Apply date filter | Download report | Reload data | Configure widgets,Complete,P3,Analytics central
PC2 Procurement,/pc2-purchase-orders,Hubs,Dashboard,PC2-specific procurement dashboard,Create PO | View Reports | Filter | Export,Navigate to PO create | Show procurement reports | Apply filters | Download data,Complete,P3,PC2 hub
PC3 Workforce,/pc3-workforce-home,Hubs,Dashboard,PC3-specific workforce dashboard,View Contractors | View Timecards | View Reports | Filter,Show contractors | Show timecards | Show workforce reports | Apply filters,Complete,P3,PC3 hub
